(Namespace(debug=True, route='gpx/routes/whitchurch-routeA.gpx', track='gpx/tracks/routeA/MotoG3.gpx'),)
(True,)
('gpx/routes/whitchurch-routeA.gpx',)
('gpx/tracks/routeA/MotoG3.gpx',)
track.filename	gpx/tracks/routeA/MotoG3.gpx
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065019, 'lon: ', -1.305644)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.0651, 'lon: ', -1.305488)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06518, 'lon: ', -1.305324)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065248, 'lon: ', -1.305173)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065304, 'lon: ', -1.305016)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065355, 'lon: ', -1.304871)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065403, 'lon: ', -1.304744)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06548, 'lon: ', -1.304612)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065566, 'lon: ', -1.304463)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065639, 'lon: ', -1.304348)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065725, 'lon: ', -1.304243)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.065834, 'lon: ', -1.30414)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06593, 'lon: ', -1.304048)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066041, 'lon: ', -1.303932)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06614, 'lon: ', -1.303771)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066223, 'lon: ', -1.303597)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06629, 'lon: ', -1.303417)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066342, 'lon: ', -1.303272)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066431, 'lon: ', -1.303107)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066523, 'lon: ', -1.302936)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066606, 'lon: ', -1.302801)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066682, 'lon: ', -1.302645)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066751, 'lon: ', -1.302486)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066825, 'lon: ', -1.302321)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066884, 'lon: ', -1.302159)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066939, 'lon: ', -1.302026)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.066989, 'lon: ', -1.301906)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.067051, 'lon: ', -1.301789)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067121, 'lon: ', -1.301612)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067183, 'lon: ', -1.301439)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067242, 'lon: ', -1.301315)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067322, 'lon: ', -1.301196)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067375, 'lon: ', -1.301077)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067456, 'lon: ', -1.300925)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067528, 'lon: ', -1.300775)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067601, 'lon: ', -1.300652)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067673, 'lon: ', -1.300535)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067737, 'lon: ', -1.300412)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067826, 'lon: ', -1.300286)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067901, 'lon: ', -1.300166)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.067989, 'lon: ', -1.300025)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.068057, 'lon: ', -1.299926)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.068131, 'lon: ', -1.299791)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.068186, 'lon: ', -1.29967)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.068242, 'lon: ', -1.299553)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.068333, 'lon: ', -1.299418)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.068391, 'lon: ', -1.299308)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.068455, 'lon: ', -1.299199)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.068501, 'lon: ', -1.299047)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.068411, 'lon: ', -1.29893)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.068318, 'lon: ', -1.298792)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.06823, 'lon: ', -1.29866)
('interval: ', datetime.timedelta(0, 156), 'lat: ', 51.068175, 'lon: ', -1.298532)
('interval: ', datetime.timedelta(0, 15), 'lat: ', 51.068186, 'lon: ', -1.298708)
('interval: ', datetime.timedelta(0, 40), 'lat: ', 51.068348, 'lon: ', -1.298964)
('interval: ', datetime.timedelta(0, 11), 'lat: ', 51.068448, 'lon: ', -1.29905)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.068548, 'lon: ', -1.298978)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.068618, 'lon: ', -1.298884)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.068687, 'lon: ', -1.298778)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.06877, 'lon: ', -1.298617)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.068827, 'lon: ', -1.298494)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.068895, 'lon: ', -1.298362)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.068972, 'lon: ', -1.298246)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069066, 'lon: ', -1.298135)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069113, 'lon: ', -1.298009)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069185, 'lon: ', -1.297865)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069271, 'lon: ', -1.297712)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069339, 'lon: ', -1.297574)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069397, 'lon: ', -1.297432)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069461, 'lon: ', -1.2973)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069562, 'lon: ', -1.2971)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069623, 'lon: ', -1.296947)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069716, 'lon: ', -1.296755)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069778, 'lon: ', -1.296613)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069848, 'lon: ', -1.296408)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.069913, 'lon: ', -1.296266)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.06998, 'lon: ', -1.29613)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070039, 'lon: ', -1.295985)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070083, 'lon: ', -1.295848)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070131, 'lon: ', -1.295701)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070182, 'lon: ', -1.295569)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070263, 'lon: ', -1.295482)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070354, 'lon: ', -1.295375)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070435, 'lon: ', -1.295278)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070478, 'lon: ', -1.295135)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.07045, 'lon: ', -1.294982)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070373, 'lon: ', -1.294824)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.07028, 'lon: ', -1.294763)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070184, 'lon: ', -1.294771)
('interval: ', datetime.timedelta(0, 9), 'lat: ', 51.07027, 'lon: ', -1.294715)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070388, 'lon: ', -1.294698)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.07049, 'lon: ', -1.294691)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070575, 'lon: ', -1.29463)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070655, 'lon: ', -1.294527)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070716, 'lon: ', -1.294416)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070775, 'lon: ', -1.294302)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070851, 'lon: ', -1.294144)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070892, 'lon: ', -1.293962)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070922, 'lon: ', -1.2938)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070951, 'lon: ', -1.293598)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.070944, 'lon: ', -1.293454)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070907, 'lon: ', -1.293296)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.070888, 'lon: ', -1.293155)
('interval: ', datetime.timedelta(0, 5), 'lat: ', 51.070959, 'lon: ', -1.293052)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070955, 'lon: ', -1.292864)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070944, 'lon: ', -1.292712)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070916, 'lon: ', -1.292572)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.070927, 'lon: ', -1.292398)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070915, 'lon: ', -1.292202)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070911, 'lon: ', -1.292015)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070917, 'lon: ', -1.291813)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070915, 'lon: ', -1.291645)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.070901, 'lon: ', -1.2915)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.070947, 'lon: ', -1.291371)
('interval: ', datetime.timedelta(0, 5), 'lat: ', 51.071043, 'lon: ', -1.291342)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.071147, 'lon: ', -1.291353)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.071265, 'lon: ', -1.291366)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.071394, 'lon: ', -1.291372)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.07149, 'lon: ', -1.291383)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.07162, 'lon: ', -1.291344)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.071765, 'lon: ', -1.291294)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.071897, 'lon: ', -1.291187)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.072006, 'lon: ', -1.291081)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.072086, 'lon: ', -1.290956)
('interval: ', datetime.timedelta(0, 8), 'lat: ', 51.072198, 'lon: ', -1.290953)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.072275, 'lon: ', -1.291048)
('interval: ', datetime.timedelta(0, 4), 'lat: ', 51.072362, 'lon: ', -1.291158)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.072462, 'lon: ', -1.291264)
